college_code,branch_code,community,college_enc,branch_enc,community_enc,cutoff_trend,hist_closing,hist_opening,hist_mean,hist_count,last_closing,last_year
1,CS,BC,0,29,0,0.4557,199.38,199.98,199.71,123.0,199.5,2024.0
1,EC,OC,0,34,5,0.9312,199.53,199.83,199.35,19.0,200.0,2024.0
2006,CM,BC,99,25,0,1.1414,197.65,199.97,198.51,187.0,198.0,2024.0
1,CS,MBC,0,29,2,0.8838,199.05,199.91,199.48,49.0,199.5,2024.0
1,CS,OC,0,29,5,0.3557,199.83,199.98,199.72,11.0,200.0,2024.0
1,BY,BC,0,14,0,0.467,192.2,198.68,194.56,114.0,192.0,2024.0
1,EC,BC,0,34,0,0.9084,198.61,199.84,199.14,116.0,199.0,2024.0
1,ME,BC,0,65,0,0.7421,192.83,198.94,195.02,244.0,192.5,2024.0
2006,CM,OC,99,25,5,1.2297,198.8,199.5,198.55,21.0,199.0,2024.0
1315,EC,OC,49,34,5,1.9504,196.9,197.88,196.22,37.0,198.0,2024.0
2006,EC,BC,99,34,0,1.3106,197.3,199.6,198.08,131.0,198.0,2024.0
4,AE,BC,248,1,0,0.739,192.97,199.26,195.01,120.0,193.5,2024.0
1,CM,OC,0,25,5,0.9753,199.2,199.73,198.92,38.0,199.5,2024.0
5008,CS,BC,299,29,0,1.4212,195.57,199.27,196.83,113.0,195.5,2024.0
2006,EE,BC,99,35,0,1.1982,195.17,198.17,195.86,143.0,195.5,2024.0
1315,EE,OC,49,35,5,2.1972,195.67,196.67,194.09,33.0,197.0,2024.0
1,EE,OC,0,35,5,1.117,197.63,198.23,197.16,17.0,198.5,2024.0
1,CS,SC,0,29,6,1.3279,197.27,199.72,198.32,42.0,197.5,2024.0
1,CM,BC,0,25,0,0.8559,198.62,199.42,199.03,241.0,199.0,2024.0
4,CS,OC,248,29,5,1.5253,198.3,198.92,197.9,27.0,199.0,2023.0
2007,CH,BC,100,21,0,0.3626,184.36,192.77,187.41,84.0,185.0,2024.0
1,ME,OC,0,65,5,1.0497,196.0,197.47,196.44,32.0,196.5,2024.0
5008,CS,OC,299,29,5,2.5227,197.21,197.57,195.6,6.0,198.5,2023.0
1315,ME,OC,49,65,5,0.7878,192.2,194.66,192.71,41.0,192.5,2024.0
1315,CS,OC,49,29,5,1.1958,198.2,199.03,198.32,35.0,198.5,2024.0
4,CS,BC,248,29,0,1.012,197.98,199.18,198.47,111.0,198.5,2024.0
1315,CS,BC,49,29,0,1.1549,197.26,199.53,198.2,187.0,197.5,2024.0
1,EE,BCM,0,35,1,0.7033,195.11,196.07,195.49,11.0,196.5,2024.0
1,CM,MBC,0,25,2,1.5042,198.23,199.13,198.66,98.0,199.0,2024.0
4,AE,OC,248,1,5,0.8785,196.27,196.9,196.27,11.0,197.0,2024.0
2007,CS,BC,100,29,0,1.4851,195.65,197.83,196.36,122.0,196.0,2024.0
1,IM,OC,0,55,5,1.2926,198.37,199.01,198.27,37.0,199.0,2024.0
2006,ME,BC,99,65,0,0.1988,191.11,197.07,193.03,133.0,191.0,2024.0
2006,CM,MBC,99,25,2,1.3963,196.13,199.3,197.55,84.0,196.5,2024.0
1,EC,BCM,0,34,1,0.9768,197.17,198.82,197.9,12.0,197.5,2024.0
1,EM,OC,0,39,5,1.2704,198.15,198.92,197.21,31.0,198.5,2024.0
2025,CS,BC,101,29,0,0.611,182.66,196.04,186.86,128.0,182.5,2024.0
2006,CM,BCM,99,25,1,1.5795,195.97,197.9,196.97,16.0,196.5,2024.0
1,IM,BC,0,55,0,1.2931,197.57,199.37,198.04,249.0,198.0,2024.0
1,EC,MBC,0,34,2,1.3101,197.78,199.2,198.62,49.0,198.5,2024.0
1,EE,BC,0,35,0,1.0504,196.33,198.67,197.25,123.0,196.5,2024.0
2006,CE,OC,99,18,5,2.2545,193.58,193.94,194.01,5.0,193.0,2022.0
4974,EE,BC,287,35,0,0.2435,181.6,189.76,182.13,56.0,179.5,2024.0
4,CS,MBC,248,29,2,1.3735,197.02,198.75,198.06,49.0,197.5,2024.0
4,CM,OC,248,25,5,1.3011,197.73,198.25,197.56,36.0,198.0,2024.0
5012,CC,BC,302,16,0,1.0768,192.24,198.29,194.02,68.0,192.0,2024.0
2,IB,BC,97,51,0,-0.7514,189.34,196.47,191.99,61.0,188.0,2024.0
1,CS,SCA,0,29,7,-0.0127,192.72,197.37,195.1,9.0,195.0,2024.0
1,CS,BCM,0,29,1,0.6925,198.54,199.07,198.89,11.0,198.5,2024.0
4,CS,BCM,248,29,1,1.1815,197.15,198.13,197.5,11.0,198.0,2024.0
1,EM,BC,0,39,0,1.5391,197.73,198.68,197.92,149.0,198.5,2024.0
1,EM,MBC,0,39,2,2.0276,196.47,197.63,196.59,57.0,197.5,2024.0
4,CM,BC,248,25,0,1.2443,197.17,198.2,197.73,113.0,197.5,2024.0
2,IB,OC,97,51,5,-0.9511,193.0,195.6,194.52,9.0,190.0,2023.0
2005,EC,BC,98,34,0,1.5253,193.55,197.6,194.71,135.0,194.0,2024.0
1,CM,BCM,0,25,1,1.0525,197.62,198.83,198.2,22.0,198.0,2024.0
2006,IM,OC,99,55,5,2.1642,197.21,197.79,195.77,27.0,197.5,2024.0
1211,CS,BC,25,29,0,1.6717,188.36,196.69,191.46,367.0,188.0,2024.0
1,EC,SC,0,34,6,1.3897,195.05,198.47,196.54,44.0,197.0,2024.0
4,EC,BC,248,34,0,1.2512,196.87,198.37,197.55,124.0,197.5,2024.0
1,IM,BCM,0,55,1,1.6093,196.75,197.8,197.04,18.0,197.5,2024.0
1,IM,MBC,0,55,2,1.8708,196.71,198.43,197.58,98.0,197.5,2024.0
2006,EC,MBC,99,34,2,1.822,195.96,198.76,196.85,51.0,196.0,2024.0
2005,CS,BC,98,29,0,1.366,194.54,197.74,195.65,130.0,194.5,2024.0
1315,IT,OC,49,57,5,1.9708,197.1,198.17,196.88,50.0,198.0,2024.0
2377,CS,BC,117,29,0,1.0701,194.95,197.4,195.74,120.0,194.5,2024.0
4,IM,OC,248,55,5,1.8238,197.13,197.7,196.28,51.0,197.5,2024.0
1304,AD,BC,43,0,0,-1.5075,181.67,190.7,184.67,74.0,179.0,2024.0
4,EC,OC,248,34,5,2.1296,197.3,197.6,196.01,15.0,198.5,2023.0
2,CH,OC,97,21,5,-0.4294,194.07,195.13,194.51,18.0,193.0,2024.0
1399,CS,MBC,58,29,2,0.7849,189.82,196.59,193.02,174.0,188.5,2024.0
1211,CS,OC,25,29,5,1.871,191.87,196.06,192.84,58.0,192.5,2024.0
2006,EM,OC,99,39,5,1.7829,196.81,197.48,196.58,21.0,197.5,2024.0
2005,CS,OC,98,29,5,2.3578,196.2,196.65,194.72,12.0,197.5,2024.0
2711,CH,BC,164,21,0,-0.0038,180.41,184.55,182.73,11.0,179.0,2024.0
2006,BS,OC,99,12,5,0.7047,193.79,195.86,194.49,10.0,194.0,2024.0
2006,IM,SCA,99,55,7,0.1043,183.73,185.9,184.33,8.0,182.5,2024.0
4,CM,MBC,248,25,2,1.8084,196.39,197.2,196.85,45.0,197.0,2024.0
2006,IM,BC,99,55,0,1.4374,196.18,198.06,197.04,202.0,196.5,2024.0
4,EC,MBC,248,34,2,1.7951,196.18,198.11,196.8,48.0,197.0,2024.0
2007,EC,BC,100,34,0,1.4608,194.92,197.14,195.53,140.0,195.5,2024.0
2607,CS,BC,120,29,0,0.5125,184.73,187.97,185.53,11.0,180.5,2024.0
5008,EC,BC,299,34,0,1.3151,194.78,197.44,195.75,111.0,195.0,2024.0
1315,CH,BC,49,21,0,0.3073,187.5,195.0,190.17,75.0,187.5,2024.0
2006,ME,MBC,99,65,2,0.9774,190.23,194.83,191.45,53.0,190.0,2024.0
1,CM,SC,0,25,6,1.8114,194.63,197.58,195.97,79.0,195.5,2024.0
4,IM,BC,248,55,0,1.3196,196.24,197.68,196.94,249.0,196.5,2024.0
1399,CS,BC,58,29,0,1.7915,191.13,197.9,193.64,348.0,191.0,2024.0
2006,EM,BC,99,39,0,1.2958,196.14,197.3,196.93,104.0,196.5,2024.0
1315,EC,BC,49,34,0,1.5313,195.63,198.54,196.68,156.0,196.0,2024.0
5008,CE,BC,299,18,0,0.8605,183.95,191.67,187.56,89.0,183.0,2024.0
1304,CS,OC,43,29,5,-0.5875,186.27,193.0,188.88,43.0,183.5,2024.0
1,MN,MBC,0,69,2,0.7612,184.04,192.7,186.2,52.0,184.5,2024.0
2007,CS,OC,100,29,5,1.5056,196.52,197.29,196.59,21.0,197.0,2024.0
2,CH,BC,97,21,0,0.1356,190.63,197.06,192.69,115.0,190.5,2024.0
1210,CS,MBC,24,29,2,-1.1676,180.48,189.52,181.75,31.0,179.0,2024.0
2006,BS,BC,99,12,0,-0.2851,188.38,195.55,191.46,90.0,187.5,2024.0
1,EM,BCM,0,39,1,1.7957,196.51,196.55,196.19,11.0,197.5,2024.0
1,EE,SC,0,35,6,0.5981,190.53,196.71,193.05,44.0,192.5,2024.0
1315,IT,BC,49,57,0,1.5365,196.04,197.4,196.78,166.0,196.5,2024.0
2613,CS,BC,125,29,0,0.2958,182.2,189.95,185.39,10.0,181.0,2024.0
4,EM,OC,248,39,5,1.6454,196.7,197.32,196.21,33.0,197.5,2024.0
1,GI,BC,0,49,0,-0.078,189.07,195.01,191.34,84.0,188.0,2024.0
4,AE,BCM,248,1,1,0.393,191.33,194.08,192.74,11.0,190.5,2024.0
1,CE,BC,0,18,0,0.6778,191.32,197.71,193.51,126.0,192.0,2024.0
4,EM,BC,248,39,0,1.6686,196.3,197.27,196.25,149.0,197.0,2024.0
1315,CS,SC,49,29,6,1.6491,188.23,194.53,191.11,58.0,191.5,2024.0
1315,CS,BCM,49,29,1,1.6167,196.3,198.1,197.16,16.0,197.0,2024.0
1219,CS,OC,29,29,5,0.9446,192.9,196.59,193.6,41.0,191.0,2024.0
1,IE,OC,0,54,5,0.4787,190.42,194.88,192.19,12.0,191.0,2024.0
4,IM,MBC,248,55,2,1.7857,195.67,197.07,196.17,89.0,196.5,2024.0
1,MN,BC,0,69,0,-0.3582,183.89,194.63,187.59,116.0,184.0,2024.0
2005,CS,MBC,98,29,2,2.1216,193.97,196.13,194.71,49.0,195.0,2024.0
1,EE,MBC,0,35,2,1.4741,195.33,198.21,196.44,47.0,196.0,2024.0
2005,IT,BC,98,57,0,1.5347,193.23,197.09,194.4,140.0,193.5,2024.0
4,MF,BC,248,66,0,2.5192,191.67,195.89,192.34,40.0,192.5,2021.0
4,EI,OC,248,37,5,1.6949,195.71,196.21,195.57,27.0,197.0,2024.0
4,EM,MBC,248,39,2,1.9842,195.48,196.37,195.52,54.0,196.5,2024.0
2615,EC,BC,127,34,0,2.0156,188.97,195.19,190.76,133.0,190.0,2024.0
1210,EC,BC,24,34,0,0.6013,181.26,188.19,183.99,18.0,177.5,2023.0
